,name,flavors
80,Ethiopia Dry Process Guji Buku,"{'Berry': '3', 'Body': '4', 'Caramel': '0', 'Citrus': '1.5', 'Cocoa': '2', 'Floral': '2.5', 'Fruits': '3.5', 'Honey': '2', 'Nuts': '0', 'Rustic': '1.5', 'Spice': '2', 'Sugars': '3'}"
81,Ethiopia Dry Process Hambela Buliye,"{'Berry': '3.5', 'Body': '4', 'Caramel': '0', 'Citrus': '2', 'Cocoa': '3', 'Floral': '1.5', 'Fruits': '4', 'Honey': '0', 'Nuts': '0', 'Rustic': '2', 'Spice': '2', 'Sugars': '3'}"
82,Ethiopia Dry Process Hambela Dabaye,"{'Berry': '3', 'Body': '4', 'Caramel': '1', 'Citrus': '1.5', 'Cocoa': '3.5', 'Floral': '2.5', 'Fruits': '3.5', 'Honey': '0', 'Nuts': '0', 'Rustic': '2', 'Spice': '2', 'Sugars': '3.5'}"
83,Ethiopia Dry Process Hambela Goro,"{'Berry': '4', 'Body': '4.5', 'Caramel': '0', 'Citrus': '1', 'Cocoa': '3', 'Floral': '2', 'Fruits': '4', 'Honey': '0', 'Nuts': '0', 'Rustic': '2', 'Spice': '2', 'Sugars': '3.5'}"
84,Ethiopia Dry Process Idido Desalegn Hijo,"{'Berry': '3', 'Body': '3.5', 'Caramel': '0', 'Citrus': '2', 'Cocoa': '3', 'Floral': '2', 'Fruits': '3', 'Honey': '3', 'Nuts': '0', 'Rustic': '1.5', 'Spice': '2', 'Sugars': '3'}"
85,Ethiopia Dry Process Keramo,"{'Berry': '3', 'Body': '4', 'Caramel': '0', 'Citrus': '0', 'Cocoa': '2.5', 'Floral': '2', 'Fruits': '3', 'Honey': '0', 'Nuts': '0', 'Rustic': '1.5', 'Spice': '2', 'Sugars': '3'}"
86,Ethiopia Dry Process Nensebo Refisa,"{'Berry': '3.5', 'Body': '4', 'Caramel': '0', 'Citrus': '0', 'Cocoa': '3', 'Floral': '2', 'Fruits': '4', 'Honey': '0', 'Nuts': '0', 'Rustic': '2', 'Spice': '2', 'Sugars': '4'}"
87,Ethiopia Dry Process Shantawene,"{'Berry': '3', 'Body': '3.5', 'Caramel': '0', 'Citrus': '1.5', 'Cocoa': '1', 'Floral': '2.5', 'Fruits': '3', 'Honey': '0', 'Nuts': '0', 'Rustic': '1', 'Spice': '0', 'Sugars': '3'}"
88,Ethiopia Dry Process Uraga Haro Wato,"{'Berry': '3.5', 'Body': '3.5', 'Caramel': '0', 'Citrus': '1', 'Cocoa': '2.5', 'Floral': '2', 'Fruits': '3.5', 'Honey': '0', 'Nuts': '0', 'Rustic': '2', 'Spice': '0', 'Sugars': '3.5'}"
89,Ethiopia Dry Process Yirga Cheffe Mengesha Farm,"{'Berry': '3', 'Body': '3.5', 'Caramel': '0', 'Citrus': '0', 'Cocoa': '2', 'Floral': '3', 'Fruits': '3', 'Honey': '0', 'Nuts': '0', 'Rustic': '1', 'Spice': '0', 'Sugars': '3.5'}"
90,Ethiopia Gera Ayetu Farm,"{'Berry': '0', 'Body': '3.5', 'Caramel': '0', 'Citrus': '2', 'Cocoa': '3', 'Floral': '2', 'Fruits': '2.5', 'Honey': '0', 'Nuts': '0', 'Rustic': '0', 'Spice': '0', 'Sugars': '3.5'}"
91,Ethiopia Gera Nano Challa,"{'Berry': '1', 'Body': '4', 'Caramel': '0', 'Citrus': '2', 'Cocoa': '2.5', 'Floral': '2', 'Fruits': '2.5', 'Honey': '3.5', 'Nuts': '0', 'Rustic': '0', 'Spice': '2', 'Sugars': '3'}"
